index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
55,Jon Lyngnes bensinstasjon AS avd Drivstoff,0,0,"Matersvegen 82, 5498 Matre","46.04310859593011, 4.801891095930109",,,Elverum,Elverum,Innlandet,"60.8814362, 11.562234",2022-02-24 01:39:06.921160,00.00
56,Brekkebygdas bensinstasjon Bergljot Ynnesdal,0,0,"Sognefjordvegen 390, 5961 Brekke","59.2942614, 10.4848589",,,Fauske,Fauske,Nordland,"67.23671525, 15.784422075480048",2022-02-24 01:39:34.145351,00.00
57,Flems bensinstasjon Guttorm Flem,0,0,"Ullavegen 31, 6290 Haramsøy","62.6369982, 6.2722502",,,Fagernes,Nord-Aurdal,Innlandet,"60.9860981, 9.236413",2022-02-24 01:47:39.523915,00.00
58,Bensinstasjon Eberg Kjell Hepsø,0,0,"Jonsvannsveien 64, 7052 Trondheim","63.43080799967772, 10.39543509967772",,,Finnsnes,Lenvik,Troms og Finnmark,"69.2296051, 17.9812828",2022-02-24 02:30:47.349365,00.00
59,Circle K Løkken,0,0,"Løkkenveien 386, 7332 Løkken Verk","63.11784485312826, 9.702697155167083",,,Fosnavåg,Herøy,Møre og Romsdal,"62.3421061, 5.6342433",2022-02-24 01:39:06.921160,00.00
60,Steinkjer bensinstasjon Bjørn Larsen,0,0,"Thulevegen 25, 7725 Steinkjer","64.01950, 11.46880",,,Førde,Førde,Vestland,"61.4521736, 5.857165",2022-02-24 01:39:34.145351,00.00
61,Fredheim transport ANS avd bensinstasjon  Bilverksted,0,0,"Kopparleden 782, 2443 Drevsjø","61.8891806, 12.031262",,,Hokksund,Øvre Eiker,Viken,"59.7672653, 9.9107409",2022-02-24 01:47:39.523915,00.00
62,Mobil bensinstasjon Jan-Egil Mæland,0,0,"Figgenveien 16, 4332 Figgjo","58.7866306, 5.8154722",,,Honningsvåg,Nordkapp,Troms og Finnmark,"70.9802698, 25.9778433",2022-02-24 02:30:47.349365,00.00
63,Andebu bensin og service Hogsens avd bensinstasjon,0,57871411,"Andebuveien 802, 3158 Andebu","59.305923554263714, 10.175944354263711",,,Jessheim,Ullensaker,Viken,"60.142311, 11.1768609",2022-02-24 01:39:06.921160,00.00
64,Esso Stryn - Superdekk Stryn,0,22665600,"Tonningsgata 2, 6783 Stryn","61.82193300419421, 6.803095718661792",,,Jørpeland,Strand,Rogaland,"59.0209193, 6.0392657",2022-02-24 01:39:34.145351,00.00
65,Shell Express Lierby,0,22665600,"Heggtoppen 1, 3403 Lier","51.13147726175952, 4.570059861759526",,,Kirkenes,Sør-Varanger,Troms og Finnmark,"69.7271478, 30.0448971",2022-02-24 01:47:39.523915,00.00
66,Shell Express Spikkestad,0,38267144,"Spikkestadveien 120, 3430 Spikkestad","59.74458097781347, 10.340304977813469",,,Kolvereid,Nærøy,Trøndelag,"64.8653613, 11.6051298",2022-02-24 02:30:47.349365,00.00
67,Yx Holum,0,53479115,"Marnarveien 816, 4519 Holum","58.0972383, 7.5217121",,,Kopervik,Karmøy,Rogaland,"59.2835851, 5.3066951",2022-02-24 01:39:06.921160,00.00
68,Yx Matre,0,74856165,"Matersvegen 82, 5498 Matre","46.0428104, 4.8015929",,,Kragerø,Kragerø,Vestfold og Telemark,"58.80225625, 9.54584295025117",2022-02-24 01:39:06.921160,00.00
69,Yx Vanvikan,0,69192270,"Kirkeveien 1, 7125 Vanvikan","63.5546501, 10.2191465",,,Langesund,Bamble,Vestfold og Telemark,"59.000697, 9.7484437",2022-02-24 01:39:34.145351,00.00
