index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
1043,Esso Ås,0,69209550,"Lyngveien 34, 1433 Ås","42.6073975, 25.4856617",,,,,,,2022-02-24 01:39:06.921160,00.00
1044,Esso Flemminghjørnet,0,64984347,"Kongens gate 42, 1530 Moss","59.43488435021453, 10.669520949964342",,,,,,,2022-02-24 01:39:34.145351,00.00
1045,Esso Vestby,0,69233550,"Hytteveien 5, 1542 Vestby","59.56022791561611, 10.712237010950615",,,,,,,2022-02-24 01:47:39.523915,00.00
1046,Esso Bredsand,0,69104560,"Ryggeveien 135, 1570 Dilling","11.9318577, 29.9761908",,,,,,,2022-02-24 02:30:47.349365,00.00
1047,Esso Grålum,0,64840383,"Bjørnstadveien 10, 1712 Grålum","59.2904945, 11.0667001",,,,,,,2022-02-24 01:39:06.921160,00.00
1048,Esso Strømmen d,0,63986660,"Strømsveien 89, 2010 Strømmen","59.94521627703042, 11.00693157703042",,,,,,,2022-02-24 01:39:34.145351,00.00
1049,Esso Deli de Luca Gardermoen,0,63951441,"Jessheimvegen 463, 2060 Gardermoen","60.19786535, 11.09967535417638",,,,,,,2022-02-24 01:47:39.523915,00.00
1050,Eidsvoll verk bensin og service AS,0,62814553,"Trondheimsvegen 336, 2074 Eidsvoll Verk","36.3807982, 50.6886629",,,,,,,2022-02-24 02:30:47.349365,00.00
1051,Esso Brugata,0,62528158,"Brugata 40, 2212 Kongsvinger","60.187055786186114, 12.005413186186116",,,,,,,2022-02-24 01:39:06.921160,00.00
1052,Esso Storhamar,0,62522665,"Aslak Bolts gate 41, 2316 Hamar","49.60806062163833, 6.142917801816432",,,,,,,2022-02-24 01:39:34.145351,00.00
1053,Yx  7-eleven Solvang,0,62344105,"Furnesvegen 111, 2318 Hamar","60.79518623311633, 11.068503133116334",,,,,,,2022-02-24 01:47:39.523915,00.00
1054,Yx 7-Eleven Rudshøgda Syd,0,62359666,"Stolvstadvegen 3, 2360 Rudshøgda","60.9128287, 10.8116326",,,,,,,2022-02-24 02:30:47.349365,00.00
1055,Esso Brumunddal Veiservice Tiger AS,0,62411059,"Nils Amblis veg 1, 2380 Brumunddal","63.25, 14.916667",,,,,,,2022-02-24 01:39:06.921160,00.00
1056,Esso Basthjørnet Veiservice Tiger AS,0,61262515,"Trondheimsvegen 1, 2406 Elverum","60.8829633, 11.5602384",,,,,,,2022-02-24 01:39:06.921160,00.00
1057,Esso Lillehammer Veiservice Tiger AS,0,61220341,"Korgvegen 39, 2619 Lillehammer","61.130720980615855, 10.434067551587694",,,,,,,2022-02-24 01:39:34.145351,00.00
1058,Follebu servicesenter Jonas Viktor Øglænd,0,61329888,"Gausdalsvegen 1155, Follebu, 2656 Follebu","61.2159593, 10.2851496",,,,,,,2022-02-24 01:47:39.523915,00.00
1059,Esso Jaren Veiservice Tiger AS,0,61171469,"Nordre Ålsvegen 2, 2770 Jaren","60.3929443, 10.5557772",,,,,,,2022-02-24 02:30:47.349365,00.00
1060,Esso Gjøvik veiservice Tiger AS,0,33319288,"Strandgata 3, 2815 Gjøvik","60.796633, 10.6934904",,,,,,,2022-02-24 01:39:06.921160,00.00
1061,Esso Deli de Luca Teie,0,33165060,"Nøtterøveien 1 A, 3127 Tønsberg","59.26804767861765, 10.408382878617648",,,,,,,2022-02-24 01:39:34.145351,00.00
1062,Esso Elveveien Veiservice Tiger AS,0,33127972,"Elveveien 21, 3262 Larvik","59.05337141667859, 10.027380416678588",,,,,,,2022-02-24 01:47:39.523915,00.00
1063,Circle K E-18 Ringdalskogen,0,33138310,"Ringdalskogen 6, 3270 Larvik","59.05344224800095, 10.027451248000945",,,,,,,2022-02-24 02:30:47.349365,00.00
1064,Esso Amundrød Veiservice Tiger AS,0,32252770,"Gamle Ravei 347, 3270 Larvik","59.053457547848, 10.027466547848",,,,,,,2022-02-24 01:39:06.921160,00.00
1065,Esso Hokksund,0,32120270,"Østre Brugate 3, 3303 Hokksund","59.77779926596625, 9.91905387417379",,,,,,,2022-02-24 01:39:34.145351,00.00
1066,Esso Hvervenkastet Veiservice Tiger AS,0,32050159,"Osloveien 79, 3511 Hønefoss","60.16944322176691, 10.249254221766915",,,,,,,2022-02-24 01:47:39.523915,00.00
1067,Esso Flå,0,32050159,"Sentrumsvegen 27, 3539 Flå","60.43005830155755, 9.463100788265947",,,,,,,2022-02-24 02:30:47.349365,00.00
1068,Circle K Bø i Telemark,0,35950184,"Bøgata 30, 3800 Bø i Telemark","59.41432381266082, 9.062549144661764",,,,,,,2022-02-24 01:39:06.921160,00.00
1069,Esso Bø Veiservice,0,35966882,"Bøgata 79, 3800 Bø i Telemark","59.412903899676216, 9.06852219284309",,,,,,,2022-02-24 01:39:34.145351,00.00
1070,Esso Deli De Luca Rugtvedt,0,51539710,"Stokkevannveien 2, 3962 Stathelle","59.0450062, 9.6977418",,,,,,,2022-02-24 01:47:39.523915,00.00
1071,Esso Tjensvollkrysset Veiservice Tiger AS,0,51889971,"Gamle Madlaveien 1, 4009 Stavanger","59.102187638586535, 5.712786095862237",,,,,,,2022-02-24 02:30:47.349365,00.00
1072,Esso Bekkefaret Veiservice Tiger AS,0,51881127,"Hjalmar Johansens gate 1, 4019 Stavanger","35.407649, 6.6416748",,,,,,,2022-02-24 01:39:06.921160,00.00
1073,Circle K Hinna - Boganesveien Autosenter AS,0,51592400,"Boganesveien 17, 4020 Stavanger","59.1023495489582, 5.712948006233906",,,,,,,2022-02-24 01:39:06.921160,00.00
1074,Esso Revheimsveien Veiservice Tiger AS,0,51719080,"Revheimsveien 265, 4047 Hafrsfjord","58.9350596, 5.673546",,,,,,,2022-02-24 01:39:34.145351,00.00
1075,Esso Sola Veiservice Tiger AS,0,51892211,"Sandetunvegen 4, 4055 Sola","58.88247785320689, 5.35664984859528",,,,,,,2022-02-24 01:47:39.523915,00.00
1076,Esso Hundvåg Veiservice Tiger AS,0,52843588,"Restaurationveien 10, 4085 Hundvåg","58.997502, 5.730011441928877",,,,,,,2022-02-24 02:30:47.349365,00.00
1077,Esso Avaldsnes Veiservice Tiger AS,0,51627500,"Peder Skeievegen 2, 4262 Avaldsnes","59.356309456012816, 5.278866056012821",,,,,,,2022-02-24 01:39:06.921160,00.00
1078,Esso Sandnes Veiservice Tiger AS,0,51664242,"Elvegata 7, 4306 Sandnes","58.851894551197134, 5.7371027511971375",,,,,,,2022-02-24 01:39:34.145351,00.00
1079,E39 Service AS Circle K Lura,0,51631840,"Somaveien 1, 4313 Sandnes","58.85203141480113, 5.737239614801137",,,,,,,2022-02-24 01:47:39.523915,00.00
1080,Esso Forus Servicenter Tiger AS,0,51482300,"Luramyrveien 47, 4313 Sandnes","58.851940700663874, 5.737148900663875",,,,,,,2022-02-24 02:30:47.349365,00.00
1081,Esso Bryne Veiservice Tiger AS,0,38023980,"Arne Garborgs veg 92, 4344 Bryne","58.7289307411944, 5.65523133945578",,,,,,,2022-02-24 01:39:06.921160,00.00
1082,Esso Krossen,0,38090061,"Setesdalsveien 98, 4617 Kristiansand S","58.158371313542766, 7.96797310484188",,,,,,,2022-02-24 01:39:34.145351,00.00
1083,Esso Oddemarka Veiservice Tiger AS,0,38050201,"Østre ringvei 88, 4632 Kristiansand S","58.15958464222669, 8.019933651423083",,,,,,,2022-02-24 01:47:39.523915,00.00
1084,Esso Søgne Veiservice Tiger AS,0,38152560,"Sentrumsveien 2, 4640 Søgne","58.0953248, 7.7893494",,,,,,,2022-02-24 02:30:47.349365,00.00
1085,Esso Vennesla Veiservice Tiger AS,0,55200980,"Sentrumsvegen 50, 4700 Vennesla","58.33986185, 7.770790282061096",,,,,,,2022-02-24 01:39:06.921160,00.00
1086,Esso Kanalveien Veiservice Tiger AS,0,55186323,"Kanalveien 1, 5068 Bergen","60.394532734790516, 5.326146434790515",,,,,,,2022-02-24 01:39:34.145351,00.00
1087,Shell  7-Eleven Tertnes,0,55181962,"Botnane 1, 5119 Ulset","60.4606528, 5.3082611",,,,,,,2022-02-24 01:47:39.523915,00.00
1088,Esso Nyborg Veiservice Tiger AS,0,22665600,"Åsamyrane 275, 5131 Nyborg","55.31012547691702, 10.797957776917023",,,,,,,2022-02-24 02:30:47.349365,00.00
1089,Shell Crt Bergen Storbilsenter Åsane,0,55948899,"Hjortlandsvegen 1, 5135 Flaktveit","60.4672399, 5.356639",,,,,,,2022-02-24 01:39:06.921160,00.00
1090,Esso Laksevåg Veiservice Tiger AS,0,55501720,"Carl Konows gate 3, 5162 Laksevåg","60.38432786438651, 5.300524894029973",,,,,,,2022-02-24 01:39:06.921160,00.00
1091,Esso Vestkanten Veiservice Tiger AS,0,55112200,"Haakonsvernveien 1, 5173 Loddefjord","60.36186985720561, 5.233498257205614",,,,,,,2022-02-24 01:39:34.145351,00.00
1092,Esso Nesttun Veiservice Tiger AS,0,55244230,"Fanavegen 2, 5222 Nesttun","60.316468125368665, 5.3545765253686675",,,,,,,2022-02-24 01:47:39.523915,00.00
1093,Yx 7-Eleven Øyrane Torg,0,56392340,"Ådnavegen 67, 5260 Indre Arna","59.899949456963434, 17.601192293025687",,,,,,,2022-02-24 02:30:47.349365,00.00
1094,Lonevåg Auto senter Rolf Hanstveit,0,52722776,"Fotlandsvegen 21, 5282 Lonevåg","60.5261845, 5.4957212",,,,,,,2022-02-24 01:39:06.921160,00.00
1095,Esso Gard Veiservice Tiger AS,0,52727327,"Tittelsnesvegen 18, 5515 Haugesund","59.41416024575918, 5.268412345759176",,,,,,,2022-02-24 01:39:34.145351,00.00
1096,Esso Karmsundgaten Veiservice Tiger AS,0,52717310,"Karmsundgata 192, 5527 Haugesund","59.414135344414454, 5.26838744441445",,,,,,,2022-02-24 01:47:39.523915,00.00
1097,Esso Raglamyr Veiservice Tiger AS,0,56557760,"Longhammarvegen 26, 5536 Haugesund","59.4138214, 5.2680735",,,,,,,2022-02-24 02:30:47.349365,00.00
1098,Esso Norheimsund Veiservice Tiger AS,0,56511076,"Gamle Dalavegen 8, 5600 Norheimsund","60.37225869542506, 6.144668495425063",,,,,,,2022-02-24 01:39:06.921160,00.00
1099,Esso Vossevangen Veiservice Tiger AS,0,70129820,"Evangervegen 4, 5704 Voss","60.62931796845944, 6.410328168459437",,,,,,,2022-02-24 01:39:34.145351,00.00
1100,Esso Nørvegata Veiservice Tiger AS,0,70140103,"Nørvegata 23, 6008 Ålesund","62.471327460092894, 6.1553653600928895",,,,,,,2022-02-24 01:47:39.523915,00.00
1101,Esso Spjelkavik Veiservice Tiger AS,0,71221424,"Brusdalsvegen 2, 6011 Ålesund","62.4713394128459, 6.155377312845895",,,,,,,2022-02-24 02:30:47.349365,00.00
1102,Yx Åndalsnes Ivar Sylte AS,0,71529842,"Gamle Romsdalsvegen 5, 6300 Åndalsnes","62.56805773217976, 7.689428232179764",,,,,,,2022-02-24 01:39:06.921160,00.00
1103,Esso Løkkemyra Veiservice Tiger AS,0,90883955,"Løkkemyrveien 12, 6517 Kristiansund N","60.5000209, 9.0999715",,,,,,,2022-02-24 01:39:34.145351,00.00
1104,"Erling Eikemo, Nærbutikken, Best Hellestrand",0,72558991,"Holmedalsvegen 566, Hellestrand, 6982 Holmedal","60.406525, 5.2205111",,,,,,,2022-02-24 01:47:39.523915,00.00
1105,Esso Havstad veiservice Tiger AS,0,73919245,"Sverre Hassels vei 62, 7020 Trondheim","46.80879821973684, 18.9187097676683",,,,,,,2022-02-24 02:30:47.349365,00.00
1106,Esso Strindheim Veiservice Tiger AS,0,72580950,"Kong Øysteins veg 4, 7046 Trondheim","63.424903345389474, 10.44726134872815",,,,,,,2022-02-24 01:39:06.921160,00.00
1107,Esso Kolstad Veiservice Tiger AS,0,72848865,"Reier Søbstads veg 1, 7078 Saupstad","51.8495193, 6.37341275",,,,,,,2022-02-24 01:39:34.145351,00.00
1108,Esso Sandmoen Veiservice Tiger AS,0,72451510,"Sandmoflata 1, 7093 Tiller","63.356041816120225, 10.379458016120225",,,,,,,2022-02-24 01:47:39.523915,00.00
1109,Esso Hemne Veiservice Tiger AS,0,72852540,"Trondheimsveien 13, 7200 Kyrksæterøra","63.2935512, 9.0873111",,,,,,,2022-02-24 02:30:47.349365,00.00
1110,Esso Melhus Veiservice Tiger AS,0,74056293,"Melhusvegen 481, 7224 Melhus","63.18143325, 10.30813448748398",,,,,,,2022-02-24 01:39:06.921160,00.00
1111,Esso Åsen Veiservice Tiger AS,0,74078040,"Frostavegen 1, 7630 Åsen","60.3348094, 15.7577506",,,,,,,2022-02-24 01:39:06.921160,00.00
1112,Esso Verdal Veiservice Tiger AS,0,74161167,"Lektor Musums gate 2, 7650 Verdal","63.79414072898141, 11.482935770277804",,,,,,,2022-02-24 01:39:34.145351,00.00
1113,Esso DampsagaSteinkjer veiservice Tiger AS,0,74161167,"Kvamsvegen 30 A, 7715 Steinkjer","64.0188892757327, 11.494110875732709",,,,,,,2022-02-24 01:47:39.523915,00.00
1114,Esso  Deli De Luca,0,74331540,"Kvamsvegen 30, 7715 Steinkjer","64.01870075381939, 11.493922353819388",,,,,,,2022-02-24 02:30:47.349365,00.00
1115,Yx Grong Grong trafikksenter AS,0,75558955,"Sundspetringen, 7870 Grong","64.53079715000001, 12.637238268418749",,,,,,,2022-02-24 01:39:06.921160,00.00
1116,Circle K Olav V's gate,0,91921533,"Olav V gate 102, 8004 Bodø","41.6286658, 19.9304945",,,,,,,2022-02-24 01:39:34.145351,00.00
1117,Circle K Stokmarknes - Stokmarknes Autosenter AS,0,77682364,"Ørneveien 17, 8450 Stokmarknes","68.5619325, 14.9077614",,,,,,,2022-02-24 01:47:39.523915,00.00
1118,Circle K Fr. Nansens plass,0,22962530,"Fr Nansens plass 1, 9008 Tromsø","47.43943241104567, 9.389969279617022",,,,,,,2022-02-24 02:30:47.349365,00.00
1119,Berlevåg Bil & båt service AS,0,69833230,"Storgata 18, 9980 Berlevåg","70.79904505, 29.150528646532546",,,,,,,2022-02-24 01:39:06.921160,00.00
1120,Esso  Deli de Luca Spydeberg,0,22665600,"Rolls vei 2, 1820 Spydeberg","59.6207942, 11.0793391",,,,,,,2022-02-24 01:39:34.145351,00.00
1121,Shell Express Vika Mo i Rana,0,61335800,"Høvleriveien 1, 8622 Mo i Rana","66.31799028846791, 14.139992530293213",,,,,,,2022-02-24 01:47:39.523915,00.00
1122,MB - Centret bensin og varme VTerje Aschim,0,75144444,"Storlinna 71, 2760 Brandbu","60.4207532, 10.5070018",,,,,,,2022-02-24 02:30:47.349365,00.00
1123,Esso Grubhei,0,75144444,"Storsanddalen 1, 8610 Mo i Rana","66.32032275563664, 14.202474950485687",,,,,,,2022-02-24 01:39:06.921160,00.00
1124,Esso Mo i Rana,0,53641304,"Verkstedveien 3, 8624 Mo i Rana","66.30463171000589, 14.133559975709854",,,,,,,2022-02-24 01:39:34.145351,00.00
1125,Thord Paulsen AS,0,48864122,"Tyssedalsvegen 12, 5750 Odda","60.06979009032594, 6.55241325529156",,,,,,,2022-02-24 01:47:39.523915,00.00
1126,Knapphus Gatekjøkken,0,95816550,"Haukelivegen 495, 5576 Øvre Vats","47.7782873, 19.1278294",,,,,,,2022-02-24 02:30:47.349365,00.00
1127,Vallersund service AS,0,90592602,"Vallersundveien 284, 7167 Vallersund","63.8620064, 9.7495437",,,,,,,2022-02-24 01:39:06.921160,00.00
1128,Shs Bilpleie Steinar Haldor Sagvik,0,80032020,"Spikkestadveien 118, 3430 Spikkestad","59.7443236, 10.3400476",,,,,,,2022-02-24 01:39:06.921160,00.00
1129,Automat1 Drammen d,0,80032020,"Holmens gate 6, 3012 Drammen","59.743942026354986, 10.204642026354984",,,,,,,2022-02-24 01:39:34.145351,00.00
1130,Automat1 Kongsberg,0,70257706,"Numedalsveien 92, 3617 Kongsberg","59.68217628601427, 9.632406862382146",,,,,,,2022-02-24 01:47:39.523915,00.00
1131,Valldal Bilsenter AS,0,78429580,"Syltegata 5, 6210 Valldal","62.2988349, 7.2595895",,,,,,,2022-02-24 02:30:47.349365,00.00
1132,AS Bil & Bo,0,64985850,"Fjordaveien 36, 9610 Rypefjord","70.6458189, 23.6728432",,,,,,,2022-02-24 01:39:06.921160,00.00
1133,Son Bilservice AS,0,0,"Hvitstenveien 170, 1542 Vestby","59.56026288217276, 10.712271977507262",,,,,,,2022-02-24 01:39:34.145351,00.00
1134,Ramstadkrysset camping,0,62580218,"Havnåsveien 2, 1850 Mysen","59.55401492391319, 11.324263223913192",,,,,,,2022-02-24 01:47:39.523915,00.00
1135,Espa Servicesenter AS,0,0,"Falletvegen 11, 2338 Espa","65.54783875000001, 22.116712311166633",,,,,,,2022-02-24 02:30:47.349365,00.00
1136,Skåbu industri AS,0,96706338,"Skåbuvegen 2709, 2643 Skåbu","61.5258161, 9.4094748",,,,,,,2022-02-24 01:39:06.921160,00.00
1137,Yx Røn,0,32745310,"Vælavegen 2, 2960 Røn","45.8802348, 4.564533629559522",,,,,,,2022-02-24 01:39:34.145351,00.00
1138,Yx Nore,0,95559271,"Gvålsvegen, 3629 Nore","61.8396571, 16.0533637",,,,,,,2022-02-24 01:47:39.523915,00.00
1139,Shell Tveito,0,55511300,"Sam Eydes gate 207, 3660 Rjukan","48.21985899158298, 15.21745676790345",,,,,,,2022-02-24 02:30:47.349365,00.00
1140,Esso Skålevik,0,95141400,"Skålevikstølen 60, 5178 Loddefjord","60.361483, 5.2331114",,,,,,,2022-02-24 01:39:06.921160,00.00
1141,JPS eiendomsselskap AS,0,53663226,"Janaveien 60, 5179 Godvik","60.3790015, 5.192735842596866",,,,,,,2022-02-24 01:39:34.145351,00.00
1142,Halldor Utne AS,0,0,"Kinsarvikvegen 1, 5780 Kinsarvik","60.3749966, 6.7243686",,,,,,,2022-02-24 01:47:39.523915,00.00
1143,Shell Elgeseter,0,76089740,"Elgeseter gate 16, 7030 Trondheim","63.430935001305855, 10.395562101305856",,,,,,,2022-02-24 02:30:47.349365,00.00
1144,Hanne's Storkiosk,0,77852800,"J.M.Johansens vei 149, 8340 Stamsund","68.1322216, 13.8437507",,,,,,,2022-02-24 01:39:06.921160,00.00
1145,Best Silsand,0,91387101,"Laukhellaveien 96 A, 9303 Silsand","69.2447188, 17.9417404",,,,,,,2022-02-24 01:39:06.921160,00.00
1146,Best Stonglandseidet,0,0,"Skrolsvikveien 7, 9392 Stonglandseidet","69.0836529, 17.1742769",,,,,,,2022-02-24 01:39:34.145351,00.00
1147,Uno-X Fredensborg,0,0,"Maridalsveien 10, 0178 Oslo","59.92095535361356, 10.751064747027371",,,,,,,2022-02-24 01:47:39.523915,00.00
1148,Uno-X Smalvollveien,0,0,"Smalvollveien 65, 0667 Oslo","59.92269552586936, 10.843825582812682",,,,,,,2022-02-24 02:30:47.349365,00.00
1149,Uno-X Oppsal,0,0,"Haakon Tveters vei 67, 0686 Oslo","57.666667, 15.2",,,,,,,2022-02-24 01:39:06.921160,00.00
1150,Uno-X Rustad,0,0,"Rustadgrenda 2, 0693 Oslo","59.873896040595, 10.843515910884062",,,,,,,2022-02-24 01:39:34.145351,00.00
1151,Uno-X Sværsvann,0,0,"Enebakkveien 501, 1295 Oslo","59.81792150143592, 10.887636765211617",,,,,,,2022-02-24 01:47:39.523915,00.00
1152,Uno-X Bekkestua,0,0,"Jens Rings vei 30, 1357 Bekkestua","50.742296524326335, 4.987987456858917",,,,,,,2022-02-24 02:30:47.349365,00.00
1153,Uno-X Gjønnes,0,0,"Gjønnesjordet 10, 1357 Bekkestua","59.9177484, 10.5873302",,,,,,,2022-02-24 01:39:06.921160,00.00
1154,Uno-X Grini,0,0,"Vollsveien 260, 1359 Eiksmarka","59.946903, 10.6260669",,,,,,,2022-02-24 01:39:34.145351,00.00
1155,Uno-X Sofiemyr,0,0,"Sønsterudveien 30, 1412 Sofiemyr","59.7967222, 10.8135639",,,,,,,2022-02-24 01:47:39.523915,00.00
1156,Uno-X Strømmen,0,0,"Strømsveien 9, 1467 Strømmen","59.945012, 11.0067273",,,,,,,2022-02-24 02:30:47.349365,00.00
1157,Uno-X Varnaveien,0,0,"Varnaveien 30, 1523 Moss","59.41721105579788, 10.673553192040373",,,,,,,2022-02-24 01:39:06.921160,00.00
1158,Uno-X Høyden,0,0,"Ryggeveien 82 /84, 1523 Moss","59.419844415208246, 10.682399280390532",,,,,,,2022-02-24 01:39:34.145351,00.00
1159,Uno-X Bajazzo,0,0,"Øreåsveien 2, 1528 Moss","59.41728311972019, 10.685822912840854",,,,,,,2022-02-24 01:47:39.523915,00.00
1160,Uno-X Kambo,0,0,"Skredderveien 2 B, 1537 Moss","59.4347974, 10.6619753",,,,,,,2022-02-24 02:30:47.349365,00.00
1161,Uno-X Vestby,0,69265958,"Senterveien 6, 1543 Vestby","59.560097740343195, 10.7121068356777",,,,,,,2022-02-24 01:39:06.921160,00.00
1162,Circle K Rygge,0,0,"Østre Huggenesvei 10, 1580 Rygge","59.3754742, 10.7824891",,,,,,,2022-02-24 01:39:06.921160,00.00
1163,Uno-X Råbekken,0,0,"Rolvsøyveien 188, 1617 Fredrikstad","59.213753403079565, 10.936552403079567",,,,,,,2022-02-24 01:39:34.145351,00.00
1164,Uno-X Lundheim,0,0,"Sarpsborgveien 107, 1636 Gamle Fredrikstad","59.2133614, 10.9361604",,,,,,,2022-02-24 01:47:39.523915,00.00
1165,Uno-X Råde,0,0,"Mosseveien 50, 1640 Råde","54.3312052, 9.7453108",,,,,,,2022-02-24 02:30:47.349365,00.00
1166,Uno-X Årum,0,0,"Sarpsborgveien 1121, 1659 Torp","59.1805647, 10.2571743",,,,,,,2022-02-24 01:39:06.921160,00.00
1167,Uno-X Rolvsøy,0,0,"Rolvsøyveien 406, 1666 Rolvsøy","59.25962855231468, 10.999129352314679",,,,,,,2022-02-24 01:39:34.145351,00.00
1168,Uno-X Valaskjold,0,0,"Tuneveien 1 B, 1710 Sarpsborg","59.2838792, 11.1096115",,,,,,,2022-02-24 01:47:39.523915,00.00
1169,Uno-X Iseveien,0,0,"Iseveien 8, 1738 Borgenhaugen","59.2669056, 11.1773667",,,,,,,2022-02-24 02:30:47.349365,00.00
1170,Uno-X Klavestadhaugen,0,0,"Skjebergveien 149, 1743 Klavestadhaugen","59.2575683, 11.1681711",,,,,,,2022-02-24 01:39:06.921160,00.00
1171,Uno-X Høvleriet,0,0,"Walkers gate 10, 1771 Halden","59.06843601599505, 11.5375715182348",,,,,,,2022-02-24 01:39:34.145351,00.00
1172,Uno-X Rødsveien,0,0,"Rødsveien 53, 1781 Halden","59.0680555, 11.537191002239753",,,,,,,2022-02-24 01:47:39.523915,00.00
1173,Uno-X Askim,0,0,"Osloveien 37, 1832 Askim","59.582497523516636, 11.142759155700226",,,,,,,2022-02-24 02:30:47.349365,00.00
1174,Uno-X Mysen,0,0,"Smedgata 9, 1850 Mysen","59.5537833, 11.3240316",,,,,,,2022-02-24 01:39:06.921160,00.00
1175,Uno-X Lillestrøm,0,0,"Torvgata 40, 2000 Lillestrøm","59.9534148, 11.0451526",,,,,,,2022-02-24 01:39:34.145351,00.00
1176,Uno-X Rælingen,0,63977308,"Stallbakken 2, 2005 Rælingen","59.89101135, 11.078987832315171",,,,,,,2022-02-24 01:47:39.523915,00.00
1177,Circle K Hervakrysset,0,0,"Edvard Griegs veg 49, 2060 Gardermoen","51.225659397888656, 4.423942138665947",,,,,,,2022-02-24 02:30:47.349365,00.00
1178,Uno-X Råholt,0,0,"Nyvegen 1, 2070 Råholt","60.2838578, 11.1728733",,,,,,,2022-02-24 01:39:06.921160,00.00
1179,Uno-X Eurosenteret,0,0,"Kjølstadvegen 1, Amfi Eurosenteret, 2160 Vormsund","51.20479152180623, 4.514720605058141",,,,,,,2022-02-24 01:39:06.921160,00.00
1180,Uno-X Kongsvinger,0,0,"Lerkevegen 54, 2209 Kongsvinger","60.1866725, 12.0050299",,,,,,,2022-02-24 01:39:34.145351,00.00
1181,Uno-X Kirkenær,0,0,"Solørvegen 1086, 2260 Kirkenær","60.4556515, 12.063387",,,,,,,2022-02-24 01:47:39.523915,00.00
1182,Uno-X Flisa,0,0,"Sundmoen 41, 2270 Flisa","60.6122998, 12.0119126",,,,,,,2022-02-24 02:30:47.349365,00.00
1183,Uno-X Hamar,0,0,"Vangsvegen 131, 2318 Hamar","60.7947828, 11.0680997",,,,,,,2022-02-24 01:39:06.921160,00.00
1184,Uno-X Stange,0,0,"Torstadvegen 1, RV 222, 2335 Stange","47.3211030125, 19.066559000329594",,,,,,,2022-02-24 01:39:34.145351,00.00
1185,Uno-X Trysil,0,0,"Storvegen 45, 2420 Trysil","61.35628227813056, 12.367161038506413",,,,,,,2022-02-24 01:47:39.523915,00.00
1186,Uno-X Tynset,0,0,"Brugata 17, 2500 Tynset","62.360107049999996, 10.532249364357114",,,,,,,2022-02-24 02:30:47.349365,00.00
1187,Uno-X Vingnes,0,0,"Vingnesgata 30, 2608 Lillehammer","61.10679592715788, 10.444699683599065",,,,,,,2022-02-24 01:39:06.921160,00.00
1188,Uno-X Lillehammer,0,0,"Kirkegata 52, 2609 Lillehammer","61.11431438826377, 10.464334711416141",,,,,,,2022-02-24 01:39:34.145351,00.00
1189,Uno-X Smestadmoen,0,0,"Gudbrandsdalsvegen 194, 2619 Lillehammer","61.12903860453981, 10.450486466931658",,,,,,,2022-02-24 01:47:39.523915,00.00
1190,Uno-X Øyer,0,0,"Kongsvegen 5, 2636 Øyer","61.3273517, 10.504001742069814",,,,,,,2022-02-24 02:30:47.349365,00.00
1191,Uno-X Vinstra,0,0,"Lomovegen 1, 2640 Vinstra","61.595437950000004, 9.74714775122301",,,,,,,2022-02-24 01:39:06.921160,00.00
1192,Uno-X Otta,0,0,"Gudbrandsdalsvegen 1166, 2670 Otta","61.77144737758766, 9.53967547758766",,,,,,,2022-02-24 01:39:34.145351,00.00
1193,Uno-X Raufoss,0,0,"Storgata 59, 2830 Raufoss","60.7222414, 10.6135011",,,,,,,2022-02-24 01:47:39.523915,00.00
1194,Uno-X Lena,0,0,"Lenagata 246, 2850 Lena","60.679737661056606, 10.81584077447614",,,,,,,2022-02-24 02:30:47.349365,00.00
1195,Uno-X Dokka,0,0,"Rosteinvegen 1, 2870 Dokka","61.372419600539374, 5.151233100539377",,,,,,,2022-02-24 01:39:06.921160,00.00
1196,Circle K Bagn,0,0,"Storebruvegen 3, 2930 Bagn","60.8233557, 9.5510234",,,,,,,2022-02-24 01:39:06.921160,00.00
1197,Uno-X Travbanen,0,0,"Traverveien 32, 3027 Drammen","59.7436749, 10.2043749",,,,,,,2022-02-24 01:39:34.145351,00.00
1198,Uno-X Mjøndalen,0,0,"Orkidehøgda 11, 3050 Mjøndalen","59.74845121209738, 10.028011847226711",,,,,,,2022-02-24 01:47:39.523915,00.00
1199,Uno-X Holmestrand,0,0,"Hvittingfossveien 29, 3083 Holmestrand","59.5591252, 10.153170199116143",,,,,,,2022-02-24 02:30:47.349365,00.00
1200,Uno-X Tønsberg,0,0,"Ollebukta 2, 3126 Tønsberg","59.2677363, 10.4080715",,,,,,,2022-02-24 01:39:06.921160,00.00
1201,Uno-X Lystlunden,0,0,"Moloveien 1A, 3187 Horten","59.416182419054785, 10.49159770206789",,,,,,,2022-02-24 01:39:34.145351,00.00
1202,Uno-X Hovland,0,0,"Yttersøveien 1, 3274 Larvik","59.053173, 10.027182",,,,,,,2022-02-24 01:47:39.523915,00.00
1203,Uno-X Frognes,0,0,"Prestebråtan, 3300 Hokksund","59.76011451195037, 9.904852080713152",,,,,,,2022-02-24 02:30:47.349365,00.00
1204,Uno-X Hokksund,0,0,"Vestre Brugate 2, 3300 Hokksund","59.77286319734583, 9.908274944925653",,,,,,,2022-02-24 01:39:06.921160,00.00
